file_path,compression_method,word_size,total_fill_words,total_literals,compressed_size_bytes
animals.txt_BBC_8,BBC,8,59065,140935,1361344
animals_small.txt_BBC_8,BBC,8,609,1391,13624
animals_sorted.txt_sorted_BBC_8,BBC,8,161702,38298,339488
animals_small.txt_WAH_8,WAH,8,752,1536,15640
animals_small.txt_WAH_16,WAH,16,145,927,16736
animals_small.txt_WAH_32,WAH,32,13,515,16896
animals_small.txt_WAH_64,WAH,64,0,256,16416
animals.txt_WAH_4,WAH,4,318628,214716,1497684
animals.txt_WAH_8,WAH,8,76429,152147,1558008
animals.txt_WAH_16,WAH,16,14025,92647,1661760
animals.txt_WAH_32,WAH,32,1271,50345,1650016
animals.txt_WAH_64,WAH,64,26,25382,1626144
animals_sorted.txt_sorted_WAH_4,WAH,4,532104,1240,716940
animals_sorted.txt_sorted_WAH_8,WAH,8,226996,1580,51744
animals_sorted.txt_sorted_WAH_16,WAH,16,104962,1710,56736
animals_sorted.txt_sorted_WAH_32,WAH,32,49838,1778,115616
animals_sorted.txt_sorted_WAH_64,WAH,64,23604,1804,227232
